#P_AB   P_AC     delta*    P_AB    P_AC     delta
 0.790037 0.685757 0.0305062 0.790037 0.762655 0.0537208 

 0.79023 0.685467 0.0304658 0.79023 0.76251 0.0536299 

 0.790423 0.685177 0.0304255 0.790423 0.762365 0.0535391 

 0.790616 0.684886 0.0303852 0.790616 0.762219 0.0534482 

 0.790809 0.684595 0.0303449 0.790809 0.762074 0.0533574 

 0.791002 0.684302 0.0303047 0.791002 0.761928 0.0532665 

 0.791195 0.68401 0.0302645 0.791195 0.761781 0.0531757 

 0.791388 0.683716 0.0302243 0.791388 0.761634 0.0530849 

 0.79158 0.683422 0.0301842 0.79158 0.761487 0.052994 

 0.791773 0.683127 0.0301441 0.791773 0.76134 0.0529032 

 0.791966 0.682832 0.0301041 0.791966 0.761192 0.0528124 

 0.792159 0.682536 0.0300641 0.792159 0.761044 0.0527216 

 0.792352 0.682239 0.0300241 0.792352 0.760896 0.0526308 

 0.792545 0.681941 0.0299841 0.792545 0.760747 0.05254 

 0.792738 0.681643 0.0299442 0.792738 0.760598 0.0524492 

 0.792931 0.681344 0.0299043 0.792931 0.760448 0.0523584 

 0.793124 0.681044 0.0298645 0.793124 0.760299 0.0522676 

 0.793316 0.680744 0.0298247 0.793316 0.760148 0.0521768 

 0.793509 0.680443 0.0297849 0.793509 0.759998 0.052086 

 0.793702 0.680142 0.0297452 0.793702 0.759847 0.0519952 

 0.793895 0.679839 0.0297055 0.793895 0.759696 0.0519044 

 0.794088 0.679536 0.0296658 0.794088 0.759544 0.0518136 

 0.794281 0.679232 0.0296262 0.794281 0.759392 0.0517229 

 0.794474 0.678928 0.0295866 0.794474 0.75924 0.0516321 

 0.794667 0.678623 0.029547 0.794667 0.759088 0.0515413 

 0.79486 0.678317 0.0295075 0.79486 0.758935 0.0514505 

 0.795052 0.67801 0.029468 0.795052 0.758781 0.0513597 

 0.795245 0.677702 0.0294286 0.795245 0.758628 0.0512689 

 0.795438 0.677394 0.0293891 0.795438 0.758473 0.0511781 

 0.795631 0.677085 0.0293498 0.795631 0.758319 0.0510872 

 0.795824 0.676776 0.0293104 0.795824 0.758164 0.0509964 

 0.796017 0.676465 0.0292711 0.796017 0.758009 0.0509056 

 0.79621 0.676154 0.0292318 0.79621 0.757853 0.0508148 

 0.796403 0.675842 0.0291925 0.796403 0.757698 0.0507239 

 0.796596 0.67553 0.0291533 0.796596 0.757541 0.0506331 

